Location,Type,Category,Description,Price,Date,Rooms,Surface
La Soukra,Vente,App. 2 pièc,Appartement s2 à borj lo,220 000,19/12/2024,1,105.0
Ain Zaghouan,Location,App. 3 pièc,Appart neuf jamais habit,1 800,19/12/2024,2,100.0
Berge Du Lac,Location vacance,App. 1 pièc,A quelques minutes de l',1 500,19/12/2024,0,52.0
La Soukra,Location,App. 2 pièc,Apprt s1meublé à  la,1 350,19/12/2024,1,80.0
La Soukra,Vente,App. 2 pièc,Apprt s1 à la soukra,225 000,19/12/2024,1,585.0
Cite Ennasr 2,Location,App. 2 pièc,S1 haut standing très sp,900,19/12/2024,1,73.062
Cite Ennasr 2,Location,App. 4 pièc,Appartements meuble ou vide,150,19/12/2024,3,160.4433656957929
Ain Zaghouan,Location,App. 2 pièc,Un lumineux s plus un la,900,19/12/2024,1,60.0
El Aouina,Location vacance,App. 1 pièc,Luxueux studio pour des,150,19/12/2024,0,45.0
Ain Zaghouan,Location vacance,App. 2 pièc,Super luxueux app tout n,150,19/12/2024,1,60.0
El Aouina,Location,App. 2 pièc,S plus 1 jardins aouina,1 050,19/12/2024,1,70.0
El Aouina,Location,App. 1 pièc,Appartement cite wahat,850,19/12/2024,0,60.0
Ain Zaghouan,Location vacance,App. 5 pièc,Grand luxueux duplex pou,350,19/12/2024,4,300.0
Ain Zaghouan,Location,App. 3 pièc,S plus 2 ain zaghouan 58,1 100,19/12/2024,2,80.0
El Aouina,Location,App. 3 pièc,S plus 2 meuble laouina,1 500,19/12/2024,2,90.0
Cite Ennasr 2,Location,App. 4 pièc,Appartes meublé et vide,150,19/12/2024,3,160.4433656957929
Ain Zaghouan,Location,App. 2 pièc,S plus un bien orienté à,750,19/12/2024,1,60.0
Berge Du Lac,Location,Duplex,Triplex en s5 au lac,3 600,19/12/2024,5,360.0
El Aouina,Location,App. 3 pièc,S plus deux richement me,1 100,19/12/2024,2,90.0
El Menzah 9,Location,App. 3 pièc,S plus 2 a el manzah,900,19/12/2024,2,78.0
El Menzah 7,Location,App. 4 pièc,S3 1200d menzah 7,1 200,19/12/2024,3,130.0
Borj Louzir,Location,App. 3 pièc,Appartement s3 neuf jama,930,19/12/2024,2,103.0
El Menzah 5,Location,App. 3 pièc,Des apartements meuble ou vid,150,19/12/2024,2,121.43717728055077
El Aouina,Location,App. 4 pièc,Etage de villa s3 à l'ao,1 700,19/12/2024,3,200.0
Ain Zaghouan,Vente,App. 4 pièc,Appartement s3 neuf de 1,408 000,19/12/2024,3,150.0
Marsa Erriadh,Location vacance,App. 2 pièc,App de charme haut stand,350,19/12/2024,1,50.0
Cite Ennasr 1,Location,App. 2 pièc,Pour africains et autre apart,850,19/12/2024,1,73.062
Ain Zaghouan,Vente,App. 3 pièc,Appt s2 neuf à ain zagho,675 000,19/12/2024,2,177.0
La Soukra,Location,Maisons,S1 meublé charges compri,550,19/12/2024,1,70.0
La Soukra,Vente,App. 2 pièc,Des s1 neufs à la nouvel,225 000,19/12/2024,1,50.0
La Soukra,Location,App. 3 pièc,Luxueux s2 meublé par se,600,19/12/2024,2,120.0
La Soukra,Location,App. 2 pièc,Studio meublé a soukra c,600,19/12/2024,1,70.0
Bab Bhar,Vente,App. 5 pièc,Un appartement s4 de 154,280 000,19/12/2024,4,225.45569620253164
Bab Bhar,Vente,App. 3 pièc,S2 bon emplacement,240 000,19/12/2024,2,121.43717728055077
Cite Ennasr 2,Location,App. 3 pièc,S2 bien meublé,1 500,19/12/2024,2,121.43717728055077
El Menzah 8,Location,App. 4 pièc,S3 bon standing,1 300,19/12/2024,3,160.4433656957929
Cite Ennasr 2,Location,App. 4 pièc,S3 près rené descartes,1 150,19/12/2024,3,160.4433656957929
Cite Ennasr 2,Location,App. 2 pièc,Grand s1 semi meublé de,1 150,19/12/2024,1,73.062
Bou Mhel,Location,App. 1 pièc,Appartement s1 haut standing,820,19/12/2024,0,60.0
El Menzah 8,Location,App. 3 pièc,Réez de jardin  s2 avec,950,19/12/2024,2,121.43717728055077
Cite Ennasr 2,Location,App. 2 pièc,S1 meublé avenue hedi no,1 200,19/12/2024,1,73.062
Cite Ennasr 2,Location,App. 4 pièc,S plus 3 a ennasr 2,1 200,19/12/2024,3,105.0
Bou Mhel,Location,App. 3 pièc,Appartement s3 hst à boumhel,1 300,19/12/2024,2,130.0
Ariana,Location,Maisons,Villa plein pied s3 avec,2 000,19/12/2024,3,160.4433656957929
Cite Ennasr 1,Location vacance,App. 2 pièc,S1 meublé par nuitée 70d,1 700,19/12/2024,1,70.0
Cite Ennasr 1,Location vacance,App. 2 pièc,S1 meublé par nuitée 89dt,1 700,19/12/2024,1,70.0
El Menzah 9,Location,App. 2 pièc,S1 de haut standing meub,1 400,19/12/2024,1,73.062
El Menzah 6,Location vacance,App. 2 pièc,Studio meublé  60dt la n,1 200,19/12/2024,1,20.0
Cite Ennasr 1,Location vacance,App. 2 pièc,S0 et s1 meublé pour cou,1 800,19/12/2024,1,80.0
La Mannouba,Location,App. 1 pièc,Appt s plus 1 résidence aicha,700,19/12/2024,0,65.0
Cite Ennasr 1,Location vacance,App. 2 pièc,S1 meublé haut standing,1 900,19/12/2024,1,70.0
El Aouina,Location vacance,App. 2 pièc,S1 meublé hay el waht po,2 200,19/12/2024,1,70.0
Cite Ennasr 2,Location vacance,App. 2 pièc,Jolie s1 meublé hst par,2 100,19/12/2024,1,70.0
Cite Ennasr 2,Location,App. 2 pièc,S1 neuf haut standing,950,19/12/2024,1,73.062
Bou Mhel,Location,Maisons,Rdc s3 a boumhal bel air,950,19/12/2024,3,110.0
Cite Ennasr 2,Vente,App. 3 pièc,S2 à nasr 2,440 000,19/12/2024,2,120.0
El Menzah 9,Location,App. 2 pièc,S1 haut standing neuf,950,19/12/2024,1,73.062
Riadh Landlous,Location vacance,App. 3 pièc,S2 meublé  par nuitée 12,2 500,19/12/2024,2,117.0
Cite Ennasr 1,Location vacance,App. 2 pièc,S1 meublé haut standing,1 700,19/12/2024,1,65.0
Ezzahra,Location vacance,App. 3 pièc,Apprt s2 hst meublé par,2 500,19/12/2024,2,117.0
Chotrana 1,Location,Maisons,Villa en s4 avec pis,3 300,19/12/2024,4,350.0
El Menzah 9,Location,App. 3 pièc,Magnifique appartement s,1 350,19/12/2024,2,121.43717728055077
Gammart,Location,Maisons,Triplex s4 avec piscine,7 500,19/12/2024,4,225.45569620253164
Marsa Erriadh,Location,App. 4 pièc,Appart s3 samar à la,1 250,19/12/2024,3,130.0
Gammart,Location,Duplex,Duplex meuble s3 a gamma,4 500,19/12/2024,3,160.4433656957929
Hammam Lif,Location,App. 3 pièc,Appart s2 hts à h li,1 100,19/12/2024,2,160.0
Chatt Meriem,Location vacance,Maisons,Rez de jardin s1 de char,300,19/12/2024,1,75.0
Ezzahra,Location,App. 3 pièc,Appart s2 neuf à ezz,1 200,19/12/2024,2,125.0
Riadh Landlous,Location vacance,App. 1 pièc,A 10 min de de l'aéropor,1 500,19/12/2024,0,51.0
Chatt Meriem,Location vacance,Maisons,Etage s3 de pittoresque,140,19/12/2024,3,150.0
Ezzahra,Location,App. 3 pièc,Appart s2 neuf a ezz,850,19/12/2024,2,98.0
Marsa Safsaf,Vente,App. 3 pièc,Réf 89v bel appartement s 2 r,1 500 000,19/12/2024,2,130.0
Riadh Landlous,Location,App. 1 pièc,A 10 min de de l'aéropor,1 000,19/12/2024,0,51.0
Ezzahra,Location,App. 2 pièc,Studio meublé à ezza,500,19/12/2024,1,40.0
Ezzahra,Location,App. 3 pièc,Maison s2 meublé à e,131,19/12/2024,2,150.0
Ezzahra,Location,App. 2 pièc,Studio s1 meublé à e,131,19/12/2024,1,55.0
Berge Du Lac,Location,App. 2 pièc,Suite à lac 2 coquette appart,1 900,19/12/2024,1,60.0
La Soukra,Vente,App. 2 pièc,S plus 1 soukra tel 5825,225 000,19/12/2024,1,58.0
Marsa Ennassim,Location,App. 2 pièc,Coquette appartement s1 meubl,1 400,19/12/2024,1,60.0
El Aouina,Location,App. 4 pièc,S plus 3 jardins el aoui,1 350,19/12/2024,3,130.0
Ezzahra,Location,App. 3 pièc,Appart s2 neuf à ezz,1 200,19/12/2024,2,120.0
Nouvelle Medina,Vente,App. 2 pièc,Appartement s2 près show,180 000,19/12/2024,1,100.0
Ain Zaghouan,Vente,App. 3 pièc,S plus deux résidence ja,253 000,19/12/2024,2,69.0
El Aouina,Location,App. 2 pièc,S plus un luxueux richem,1 600,19/12/2024,1,60.0
Marsa Ennassim,Location,App. 4 pièc,Etage de villa s3 indépendant,2 000,19/12/2024,3,180.0
Ain Zaghouan,Location,App. 2 pièc,Apartes meublé et vide,150,19/12/2024,1,73.062
Ain Zaghouan,Vente,App. 2 pièc,S2  ain zaghouane nouvel,415 000,19/12/2024,1,140.0
El Aouina,Location,App. 2 pièc,Résidence zayatine appartemen,850,19/12/2024,1,60.0
Cite El Khalil,Location,App. 1 pièc,Appartement s3 meubl  la,2 500,19/12/2024,0,130.0
Le Bardo,Location,App. 1 pièc,Meublé pour une seule personn,550,19/12/2024,0,55.0
Korba Hached,Location,App. 3 pièc,Local commercial,7 800,19/12/2024,2,135.0
Le Bardo,Location,App. 2 pièc,Pour  filles ou petite famill,550,19/12/2024,1,88.0
Riadh Landlous,Location,App. 2 pièc,Spacieux s0 et s1 pour p,650,19/12/2024,1,70.0
El Manar 1,Location,App. 3 pièc,Mignon appartement meubl,1 500,19/12/2024,2,121.43717728055077
La Mannouba,Location,App. 2 pièc,S plus 1 hst a la ma,750,19/12/2024,1,65.0
Cite Ennasr 2,Location,App. 2 pièc,Appartement s 1 cité nas,950,19/12/2024,1,70.0
Cite Du Stade,Location,App. 4 pièc,Deux merveilleux apparte,1 400,19/12/2024,3,160.4433656957929
El Menzah 8,Location,App. 4 pièc,S plus 3 a el manzah,1 300,19/12/2024,3,300.0
El Menzah 8,Location,App. 4 pièc,Un appart s 3 avec deux,1 300,19/12/2024,3,310.0
Cite Ennasr 2,Location,App. 2 pièc,Appart s 1 meublé  à cit,1 150,19/12/2024,1,70.0
Cite Ennasr 2,Location,App. 2 pièc,Studio à ennasr 2,750,19/12/2024,1,60.0
El Menzah 9,Vente,App. 3 pièc,S2 400 md menzah 9,400 000,19/12/2024,2,129.0
El Kantaoui,Location,App. 3 pièc,Appartement 3 pièces,1 250,19/12/2024,2,160.0
Cite Ennasr 1,Location,App. 4 pièc,Des appartements richement me,150,19/12/2024,3,160.4433656957929
Borj El Baccouc,Location,Maisons,Etage de villa s4 1300d,1 300,19/12/2024,4,170.0
Marsa Erriadh,Location vacance,App. 2 pièc,Super luxueux splus1pour,350,19/12/2024,1,80.0
Berge Du Lac,Location,App. 4 pièc,Bureau hall et 4 pièces,2 500,19/12/2024,3,180.0
Berge Du Lac,Location,App. 3 pièc,Petit bureau au lac 1,2 270,19/12/2024,2,100.0
El Aouina,Location,App. 2 pièc,S plus 2 meuble wahat ao,1 200,19/12/2024,1,110.0
Kelibia,Vente,App. 2 pièc,Appartement prestigieuse,185 000,19/12/2024,1,100.0
El Aouina,Vente,App. 3 pièc,S plus deux bien ensolei,245 000,19/12/2024,2,100.0
Ain Zaghouan,Location,App. 2 pièc,S plus deux jamais habit,1 200,19/12/2024,1,100.0
Ain Zaghouan,Location,App. 2 pièc,S plus un neuf à la nouv,1 000,19/12/2024,1,65.0
Kelibia,Location vacance,App. 3 pièc,Villa avec terrasse vue,5 800,19/12/2024,2,100.0
Hammam El Gheza,Vente,App. 2 pièc,Nouveau projet immobilie,200 000,19/12/2024,1,100.0
Hammam Chatt,Location,App. 4 pièc,Appart s3 à hammam c,131,19/12/2024,3,120.0
Le Bardo,Location,App. 3 pièc,Appartement  centre ville men,600,19/12/2024,2,250.0
Cite Ennasr 2,Location,App. 2 pièc,S1 de haut standing,900,19/12/2024,1,73.062
Megrine Riadh,Location,App. 1 pièc,Belle occasion,370,19/12/2024,0,70.0
El Menzah 7,Vente,App. 4 pièc,Coquette duplexe,8 500 000,19/12/2024,3,268.0
Marsa Ennassim,Location,App. 4 pièc,Etage de villa a la mars,1 700,19/12/2024,3,160.0
Jardins d'el Me,Location,Maisons,Belle villa s5 habitatio,3 500,19/12/2024,5,307.3076923076923
Berge Du Lac,Location,Maisons,Villa haut standing s6,9 500,19/12/2024,6,940.0
Berge Du Lac,Location,App. 4 pièc,Appartement s3 lac2,3 100,19/12/2024,3,220.0
Cite Ezzouhour,Location,App. 3 pièc,Coquette bireaux,500,19/12/2024,2,200.0
El Aouina,Location,App. 2 pièc,Particulier l apt s2 meu,1 250,19/12/2024,1,104.0
El Manar 1,Vente,Maisons,Grande villa s6 avec gra,1 300 000,19/12/2024,6,940.0
El Menzah 7,Location,App. 3 pièc,Alyssounoussa,1 100,19/12/2024,2,68.0
Cite Ennasr 2,Location,App. 2 pièc,Bureau h1 très haut stan,1 500,19/12/2024,1,73.062
Sidi Daoud,Location,App. 3 pièc,Appartement s2 meublé a,2 500,19/12/2024,2,130.0
Cite Ennasr 2,Location,App. 4 pièc,Penthouse s3 de très hau,3 500,19/12/2024,3,160.4433656957929
El Menzah 5,Location,App. 4 pièc,S3 haut standing meublé,2 800,19/12/2024,3,160.4433656957929
Hergla,Vente,App. 3 pièc,Offre appartement s2 neu,297 000,19/12/2024,2,120.0
Jardins de Cart,Location,App. 4 pièc,Rez de chaussée meublé a,4 500,19/12/2024,3,400.0
Cite Ennasr 2,Location,App. 4 pièc,S3 richement meublé de h,2 300,19/12/2024,3,160.4433656957929
Mutuelle Ville,Location,App. 4 pièc,S3 vide ou meublé de hau,2 400,19/12/2024,3,160.4433656957929
El Menzah 5,Location,App. 4 pièc,S3 très haut standing ri,2 200,19/12/2024,3,160.4433656957929
Sidi Daoud,Location,App. 4 pièc,Appartement s3 la marsa,2 100,19/12/2024,3,200.0
Cite Ennasr 2,Location,App. 4 pièc,S3 richement meublé,2 000,19/12/2024,3,160.4433656957929
Ain Zaghouan,Vente,App. 4 pièc,Appt s3 de 175m2 à ain zaghou,650 000,19/12/2024,3,175.0
Marsa Ennassim,Location,App. 4 pièc,Appartement s3 avec jard,3 700,19/12/2024,3,200.0
El Aouina,Location,App. 2 pièc,Propriétaire l s2 meublé,1 250,19/12/2024,1,104.0
Cite Ennasr 2,Location,App. 3 pièc,S2 meublé très haut stan,2 000,19/12/2024,2,121.43717728055077
Megrine Riadh,Location,App. 1 pièc,Belle occasion,360,19/12/2024,0,70.0
El Aouina,Location,App. 3 pièc,S plus deux côté downtow,1 000,19/12/2024,2,110.0
Cite Afh,Location,App. 2 pièc,Charmant appartement,850,19/12/2024,1,80.0
Ariana,Location,App. 2 pièc,Studio bien meuble 2pieces,900,19/12/2024,1,73.062
El Menzah 9,Location,App. 2 pièc,Un appart s 1 haut stand,1 000,19/12/2024,1,68.0
Cite Ennasr 2,Location,App. 2 pièc,Appart s 1 cité nasr non,900,19/12/2024,1,70.0
Borj Louzir,Vente,App. 2 pièc,Appartement s2 borj louz,220 000,19/12/2024,1,105.0
Carthage,Location,Maisons,Villa  s3 avec jardin a,5 000,19/12/2024,3,160.4433656957929
Gammart,Location,Maisons,Villa s3 avec piscine a,6 500,19/12/2024,3,160.4433656957929
Gammart,Location,Duplex,Triplex s4 avec piscine,4 500,19/12/2024,4,225.45569620253164
Carthage,Location,Maisons,Villa s5 avec piscine a,12 000,19/12/2024,5,307.3076923076923
Gammart,Location,Maisons,Villa s4 avec jardin a g,5 000,19/12/2024,4,225.45569620253164
Cite Du Stade,Location,App. 4 pièc,Appartement haut standin,3 000,19/12/2024,3,300.0
Marsa Safsaf,Location,App. 3 pièc,Appartement avec balcon,3 500,19/12/2024,2,121.43717728055077
Gammart,Location,App. 2 pièc,Appart avec piscine à ga,5 000,19/12/2024,1,73.062
Marsa Ennassim,Location,App. 3 pièc,Rez de chaussee avec pis,5 800,19/12/2024,2,121.43717728055077
El Menzah 7,Location,App. 5 pièc,Spacieux appt s3 à menza,1 349,19/12/2024,4,150.0
Gammart,Location,Maisons,Villa s4 avec piscine a,6 500,19/12/2024,4,225.45569620253164
Cite Ennasr 2,Location,App. 2 pièc,Coquet appt s1 à cité en,900,19/12/2024,1,70.0
Carthage,Location,Maisons,Villa s4 avec piscine a,7 500,19/12/2024,4,225.45569620253164
Carthage,Location,Maisons,Villa s5 carthage,5 500,19/12/2024,5,400.0
Marsa Safsaf,Location,App. 2 pièc,Etage de villa s1 meubl,900,19/12/2024,1,73.062
El Aouina,Location,App. 3 pièc,Appt s2 meublé à la nouv,2 000,19/12/2024,2,115.0
Ben Arous,Location,App. 2 pièc,Bureau clare  à ben,1 500,19/12/2024,1,145.0
Cite Ennasr 2,Location,App. 4 pièc,Appart s3 à ennasr 2 cot,1 150,19/12/2024,3,160.0
La Soukra,Location,App. 3 pièc,Appartement s2 à chotran,1 700,19/12/2024,2,100.0
Cite Ennasr 2,Location,App. 3 pièc,Appart s2 vide à ennasr,1 050,19/12/2024,2,100.0
Cite Mohamed Al,Vente,App. 3 pièc,S2 au rez de chaussé,92 000,19/12/2024,2,60.0
Bizerte,Location,App. 2 pièc,Villa à malouf bizerte,200,19/12/2024,1,73.062
Bizerte,Vente,App. 2 pièc,Appartement bizerte cent,260 000,19/12/2024,1,85.0
Cite Ennasr 2,Location,App. 2 pièc,Un appartement s 1 à cit,900,19/12/2024,1,83.0
Marsa Ennassim,Location,App. 4 pièc,Appartement avec jardin,3 000,19/12/2024,3,200.0
Berge Du Lac,Location vacance,App. 1 pièc,A 10 minute de l'aéropor,1 500,19/12/2024,0,51.0
Hammam Lif,Vente,App. 3 pièc,Duplex avec local comerc,190 000,19/12/2024,2,113.0
Hammam Chatt,Location,App. 4 pièc,Appartement s2 a hammam,390,19/12/2024,3,70.0
Cite Ezzouhour,Location,App. 2 pièc,Pour couple ou une petite fam,450,19/12/2024,1,80.0
Cite Jardins,Location,Maisons,Etage de villa s3 bu,1 150,19/12/2024,3,80.0
El Mourouj,Location,App. 3 pièc,Appartement richement me,800,19/12/2024,2,80.0
Hedi Chaker,Location,App. 2 pièc,Cote bourguiba school semi me,900,19/12/2024,1,70.0
Cite Bhar Lazre,Vente,App. 2 pièc,Appartement s1 à bha,90 000,19/12/2024,1,100.0
Cite El Hidhab,Location,App. 2 pièc,Un joli appartement bon,550,19/12/2024,1,100.0
Cite Bhar Lazre,Vente,App. 2 pièc,Appartement s2 à bha,100 000,19/12/2024,1,100.0
El Manar 1,Vente,App. 3 pièc,Manar 1 s3 de 90m2 proch,234 000,19/12/2024,2,90.0
Cite Ennasr 2,Location,App. 5 pièc,Ennasr 2 joli appt s3 bi,1 450,19/12/2024,4,150.0
El Aouina,Vente,App. 4 pièc,L'aouina joli appt s2 bi,290 000,19/12/2024,3,100.0
Cite Ennasr 2,Location,App. 2 pièc,S1 état presque neuf,1 200,19/12/2024,1,80.0
El Menzah 8,Location,App. 5 pièc,Spacieux s4,1 400,19/12/2024,4,225.45569620253164
Cite Ennasr 1,Location,App. 5 pièc,S4 étage de villa habita,1 250,19/12/2024,4,225.45569620253164
Bou Mhel,Location,App. 2 pièc,Étage de villa s2 a boumhel b,900,19/12/2024,1,100.0
Cite Ennasr 2,Location,App. 2 pièc,S1 meublé courte durée h,560,19/12/2024,1,73.062
Cite Ennasr 2,Location,App. 3 pièc,S2 pour usage bureau,1 200,19/12/2024,2,121.43717728055077
El Manar 2,Location,App. 4 pièc,Bureau 4 pièces,1 400,19/12/2024,3,160.4433656957929
Cite Ennasr 2,Vente,App. 1 pièc,S3 ennaser 2 ref154a,400 000,19/12/2024,0,124.0
Jardins d'el Me,Vente,App. 1 pièc,S2 jardin menzah 2 ref15,330 000,19/12/2024,0,114.0
Cite Ennasr 2,Location,App. 5 pièc,S4 à usage habitation ou,1 400,19/12/2024,4,225.45569620253164
